,TransactionID,Date,CustomerID,ProductID,ProductName,Quantity,Price,TotalSales,PaymentType,CustomerAge
0,7402,2026-03-17,991,1045,Book E,9,167.72,2935.06,Debit Card,87
1,5835,2035-01-26,741,1040,Book J,18,193.27,4386.52,Debit Card,69
2,2123,2035-05-26,933,1062,Book N,5,126.39,1948.46,Cash,15
3,8789,2036-02-28,641,1060,Book I,6,66.98,1757.26,Cash,22
4,305,2023-04-19,123,1058,Book B,15,33.63,2578.19,Cash,1
5,2532,2032-08-19,185,1090,Book N,12,102.69,488.23,Cash,54
6,2996,2031-04-03,571,1086,Book D,15,176.27,4822.26,Cash,4
7,7660,2031-02-27,172,1012,Book P,12,44.51,4966.85,Cash,82
8,8225,2026-05-26,342,1098,Book P,11,72.57,4920.76,Cash,51
9,4449,2030-02-05,614,1086,Book M,5,15.67,714.58,Debit Card,95
10,3621,2036-05-08,755,1051,Book E,19,149.75,100.7,Cash,86
11,9211,2035-07-18,361,1020,Book O,14,140.04,3155.24,Credit Card,35
12,5023,2032-04-10,626,1092,Book I,1,24.43,3426.99,Debit Card,25
13,7924,2025-04-07,850,1075,Book T,10,89.13,84.65,Credit Card,31
14,4476,2029-12-12,559,1094,Book A,13,96.85,3639.27,Debit Card,74
15,6709,2029-08-20,583,1044,Book T,8,108.44,2664.9,Cash,9
16,108,2030-10-21,643,1042,Book T,6,181.82,4077.67,Debit Card,87
17,3320,2032-08-16,180,1059,Book G,17,15.92,861.47,Credit Card,97
18,5658,2026-08-30,462,1027,Book J,11,54.96,1745.57,Debit Card,56
19,8791,2031-11-13,523,1010,Book G,17,187.84,2499.92,Debit Card,46
20,800,2023-02-12,480,1060,Book I,9,77.26,2032.76,Debit Card,53
21,6283,2026-04-13,632,1049,Book P,12,35.86,2408.26,Credit Card,25
22,2517,2032-09-13,987,1022,Book B,18,106.15,2876.01,Credit Card,71
23,501,2027-02-05,113,1069,Book R,12,31.62,2042.28,Debit Card,40
24,8794,2033-07-12,980,1018,Book M,2,102.26,4959.74,Credit Card,77
25,1922,2028-10-29,546,1081,Book J,14,124.94,1642.17,Cash,43
26,4302,2029-12-10,566,1022,Book N,4,111.77,3955.85,Credit Card,57
27,9113,2030-08-12,653,1048,Book N,1,110.52,4532.75,Cash,42
28,9728,2036-08-21,307,1070,Book G,8,131.91,3184.52,Debit Card,65
29,6272,2033-07-03,59,1095,Book G,7,28.04,1743.71,Debit Card,50
30,4443,2026-01-09,294,1088,Book P,6,137.01,2783.85,Debit Card,8
31,6729,2035-03-16,851,1060,Book L,1,104.35,408.12,Debit Card,14
32,4534,2030-10-23,963,1052,Book L,3,152.39,761.66,Cash,1
33,34,2036-07-20,730,1062,Book A,15,153.75,3158.59,Cash,59
34,9850,2024-08-15,538,1002,Book B,3,95.99,4946.8,Debit Card,39
35,4429,2036-03-28,295,1057,Book E,4,137.59,3152.31,Paypal,93
36,569,2028-11-19,815,1030,Book O,16,147.81,2153.51,Debit Card,20
37,1510,2027-05-25,241,1041,Book L,8,143.33,460.63,Debit Card,39
38,7788,2027-02-03,382,1059,Book R,2,101.96,2475.43,Cash,6
39,304,2032-04-23,849,1054,Book M,13,171.64,1681.68,Cash,76
40,7549,2024-03-02,622,1029,Book M,9,92.77,879.96,Cash,12
41,5530,2034-03-16,72,1069,Book K,15,99.88,1516.53,Debit Card,58
42,1122,2034-01-30,217,1087,Book F,12,16.13,1459.39,Cash,24
43,5205,2028-02-18,794,1029,Book G,18,128.35,4726.16,Cash,80
44,7289,2031-03-01,243,1009,Book L,18,36.28,2377.42,Cash,63
45,5909,2025-03-10,386,1034,Book A,3,61.26,3290.5,Debit Card,66
46,9842,2024-07-29,10,1065,Book H,13,180.78,366.43,Credit Card,31
47,2376,2023-12-17,243,1075,Book R,2,191.13,1900.42,Credit Card,10
48,2448,2023-03-07,372,1037,Book D,13,37.24,3164.13,Credit Card,6
49,5454,2034-10-14,887,1053,Book O,10,191.2,1408.83,Paypal,27
50,316,2028-02-14,566,1012,Book H,1,185.04,4526.58,Credit Card,99
51,8616,2031-06-01,897,1004,Book M,3,151.38,62.12,Debit Card,23
52,3527,2026-02-02,926,1051,Book B,3,93.77,2805.37,Debit Card,91
53,5548,2030-01-05,310,1018,Book D,5,73.3,2212.94,Cash,95
54,8053,2029-05-29,691,1077,Book S,2,55.61,4890.9,Cash,68
55,97,2034-06-21,268,1068,Book J,2,62.8,4010.45,Cash,98
56,7530,2028-02-29,259,1019,Book P,4,73.59,2401.74,Credit Card,96
57,1057,2034-04-10,138,1086,Book T,5,94.21,4352.25,Credit Card,61
58,9677,2033-07-30,437,1042,Book R,3,131.96,2388.66,Credit Card,72
59,8569,2027-05-27,423,1097,Book L,12,112.45,485.15,Credit Card,8
60,3820,2026-03-20,512,1076,Book H,3,163.37,4514.64,Debit Card,64
61,8536,2026-02-28,695,1005,Book O,10,111.06,222.06,Debit Card,19
62,4112,2032-04-08,117,1031,Book L,1,95.08,1661.98,Credit Card,29
63,6740,2029-04-28,871,1088,Book J,9,27.93,3422.45,Debit Card,4
64,1497,2025-11-09,279,1084,Book L,3,63.62,1602.12,Cash,2
65,577,2036-03-21,167,1024,Book K,14,92.09,3547.91,Cash,28
66,2271,2028-12-08,304,1024,Book O,11,13.9,3021.25,Debit Card,25
67,1442,2026-08-14,841,1087,Book T,7,166.55,2082.98,Credit Card,6
68,5015,2033-09-13,483,1018,Book T,0,102.45,4271.84,Debit Card,80
69,5917,2029-11-12,747,1080,Book P,5,85.33,3250.23,Credit Card,75
70,736,2029-06-04,741,1095,Book D,13,181.79,2136.45,Credit Card,58
71,1072,2033-04-05,86,1003,Book G,11,54.82,4628.28,Credit Card,67
72,2803,2026-08-15,579,1098,Book K,4,77.49,4706.52,Debit Card,0
73,8161,2035-06-18,297,1042,Book D,14,45.32,2395.83,Credit Card,25
74,5921,2027-10-19,839,1059,Book S,4,56.39,2293.04,Credit Card,8
75,5567,2025-11-21,828,1052,Book S,2,29.78,1679.16,Debit Card,19
76,9670,2026-10-11,904,1099,Book S,10,192.94,2770.67,Debit Card,65
77,7471,2029-12-15,676,1041,Book E,17,196.41,4036.59,Debit Card,6
78,5268,2035-05-03,420,1023,Book L,14,196.52,821.66,Cash,92
79,6655,2031-08-29,287,1052,Book F,9,80.63,4457.02,Cash,12
80,9812,2024-06-19,65,1043,Book N,3,89.08,2198.91,Debit Card,16
81,5401,2030-08-05,953,1095,Book T,14,118.37,4176.75,Paypal,7
82,8674,2024-01-06,643,1033,Book N,12,160.25,4244.64,Debit Card,74
